,Var(node1),Var(node2),Var(node3),Var(node4),Var(node5)
s1,88.98651868222417,1.4376989048682973,87.7795059058855,5.125124947631475,0.19752096523866186
s2,87.05778100287488,1.4225365184347858,85.86273246219247,5.00905078299009,0.19136110192651148
s3,88.70401910952819,1.4601219763465911,87.47576253813578,5.104696681173642,0.1956976671905574
s4,88.612912085889,1.4241755034128307,87.41907664416942,5.104289311782108,0.1965944213106802
s5,88.99780716638597,1.4321807088708227,87.79742045096928,5.123830197719233,0.19577607459113736
s6,88.8888068190355,1.447098180695812,87.67375585858288,5.113306729913174,0.19535150789866843
s7,89.7703812461833,1.4489163353739711,88.5532338662943,5.162381266775281,0.19612774910711003
s8,88.39486102899978,1.4651321234726418,87.163277778829,5.08744912040434,0.1948526178598431
s9,87.62125426287881,1.4265432185023073,86.42370381501051,5.039869444143692,0.19204714421807528
s10,90.08962399914334,1.462702188934208,88.86077634472282,5.180670558001909,0.19696172137054424
s11,88.98562700963572,1.467354036215283,87.75225817838192,5.121944195104833,0.19665492077461047
s12,87.55037315257586,1.4270835538313136,86.35192761488747,5.03441552780626,0.1915579866793403
s13,89.07526624002409,1.457818844298234,87.84864465770482,5.126466903072393,0.19644773677453953
s14,88.28719676217337,1.4588268728773721,87.05983924279072,5.078056718322726,0.19392346742329505
s15,88.39983498567166,1.461210586997938,87.16982538845419,5.084324960897647,0.19442994941578967
s16,90.2280886191728,1.4738305018804703,88.98739422631971,5.190119177600022,0.1983641403610192
s17,88.65233302798669,1.4790274316829022,87.40660324471936,5.100795341169372,0.1949726758370075
s18,88.83951787004271,1.4766646008749214,87.59721847229967,5.110512531759914,0.19536295742874887
s19,89.60319872138191,1.4618936089441883,88.37176362028355,5.158102806799674,0.1981624543789839
s20,90.13178648418759,1.4718460593347031,88.89349155299155,5.190329332635028,0.19982074449817142
s21,87.24286583581089,1.4635158996063111,86.01304178468725,5.018492229496743,0.1919738154130713
s22,87.2076947877922,1.4727541217316202,85.96342029732389,5.018767660413012,0.19293812771867525
s23,87.23332289119634,1.4517939843521426,86.00853470918968,5.015821185741144,0.19078858827289327
s24,88.90192443961728,1.480656377169742,87.65517890029041,5.114901733079424,0.1959230565602035
s25,89.10910456287817,1.459527714671304,87.87982675545544,5.126248028079516,0.1956171579883346
s26,88.26812647932886,1.489494095230804,87.01063140654338,5.072274820087189,0.19297135767344076
s27,90.47890529120512,1.483270511563043,89.23276550773643,5.208882827828805,0.20006154236305038
s28,87.02956738285879,1.4661200912269297,85.79215881393918,5.001430929929729,0.19008760405384606
s29,87.65940891920293,1.4802378326112955,86.4102141491701,5.0417741005788255,0.19319158073312664
s30,87.11972370179267,1.468787324843352,85.87811483007958,5.0116537111513875,0.19203899840976954
s31,88.89896521975251,1.5079525555774624,87.62341392395926,5.115243869087661,0.19633433117198498
s32,89.9235334382472,1.4983043736122696,88.65507099441872,5.176544924393316,0.199379743992713
s33,89.11909991516919,1.4973613921845936,87.85240345692226,5.124740135409532,0.19570979218998366
s34,90.73068038792604,1.5019024642242886,89.46287655075581,5.221762982110304,0.20064960161354292
s35,88.31443356796117,1.4889762790478531,87.05783626221462,5.0809588694345384,0.19465585171083316
s36,87.77853586186168,1.486727547681476,86.52452000218456,5.048308710688222,0.19318279793997115
s37,89.05090497280007,1.4876192029470763,87.79546785962134,5.122464333169317,0.19586460319502855
s38,87.34124960655048,1.4903185012962845,86.0801715940415,5.019346666392505,0.19158524930436033
s39,89.19704638543286,1.5068500820279005,87.92199672241678,5.131077466255333,0.19643039237368562
s40,86.73296594380086,1.5039570498174106,85.46331414570666,4.985789284672506,0.1907283310972633
s41,88.47810923371546,1.5089441958597387,87.20387668070647,5.089517744746448,0.19529799684267374
s42,87.98852547790341,1.509520588742781,86.70932084895881,5.058643835933044,0.19337997883609634
s43,88.52453556737332,1.517979689299342,87.23894039805332,5.085600610604246,0.19302878089164224
s44,87.94391476517586,1.5001543791235175,86.67118855336814,5.061316459662062,0.1952627466699564
s45,87.35936197731549,1.4913675078773838,86.09814099444193,5.0267889064641915,0.19358338580420653
s46,90.5762177961718,1.5050424385097203,89.30308280356384,5.2121967175826684,0.19989302158323285
s47,88.13361267626873,1.504367383485132,86.85932931401902,5.0696152774891425,0.19482276917115243
s48,88.69925893650812,1.5047554951569868,87.42325534038154,5.101360425442382,0.19527938290306193
s49,87.56604239360085,1.5028453032063531,86.2898846217577,5.031997876546731,0.191456547348388
s50,85.84879400744185,1.5123189250586586,84.56421007650036,4.934778578457343,0.18905035845263332
s51,88.8607204904559,1.509004538757264,87.58170259444557,5.110476112903188,0.19555967927526444
s52,88.25047800105575,1.5493779530326928,86.93498763885839,5.068652182965851,0.19234539842247053
s53,88.0630149549736,1.5071387262499871,86.78429293285299,5.066383478833079,0.1944133786583007
s54,88.46712004306364,1.518377380527733,87.17808810759037,5.090580258114162,0.1957041257581285
s55,91.95404013743646,1.57406901757138,90.61964807283081,5.286523535997944,0.20208125602174032
s56,87.57623751538243,1.5319176895714095,86.27616558241775,5.030114901076208,0.19169626987216665
s57,89.07064874431197,1.5515971248808993,87.75336206161586,5.12240625890556,0.19687686621596012
s58,87.40425997080133,1.5473267389007188,86.0889178938852,5.022599587994167,0.19230051934880912
s59,87.05983247071606,1.5340857485199642,85.75602175703875,4.997039660012941,0.18934627890148975
s60,89.07771571328999,1.5429663945422654,87.76885340956434,5.121107838184966,0.19607272803834003
s61,89.90381907854336,1.5638403210537697,88.57787560539367,5.166438154306321,0.1970812691966963
s62,87.8678699008982,1.526409947268174,86.57092755650399,5.053298603157883,0.19418167225418048
s63,89.46737681714588,1.537994966115678,88.15841378178195,5.139387417256845,0.19571512992302095
s64,89.40640000096991,1.5403231997060978,88.09753174865804,5.145815920353045,0.19831844198339635
s65,88.15017288211473,1.5603856887827103,86.82049853853526,5.060920254602047,0.19220593423686944
s66,88.57571036484188,1.5612388017938335,87.24660634564077,5.084874181498532,0.19302108797013506
s67,89.0893753727126,1.553646740726711,87.76579581549129,5.124871636709442,0.19770819052208147
s68,87.08896700430361,1.5361328586677605,85.78147644269247,5.0071030416253,0.19237733115083328
s69,86.57623500820861,1.5845591276053708,85.22225921619741,4.971211342537151,0.1900701267699249
s70,89.05760720641788,1.5567964734401702,87.73011089053189,5.1226290751554355,0.19711143157363184
s71,88.9750511650744,1.5670296657440792,87.64134760555974,5.116491274608342,0.1966427606607254
s72,87.88000072086473,1.531617513037444,86.57426605422994,5.048650890570797,0.1926026448855895
s73,87.45369588680099,1.5561330156668398,86.1289767721186,5.028161053021541,0.19344548897403877
s74,87.6185725153711,1.5612175136921336,86.28724406095373,5.034822486631849,0.19262219319142448
s75,87.28723085928513,1.5646953600151543,85.95449914995386,5.020783090528615,0.19390719436697415
s76,89.05014027284663,1.5617564720305084,87.71999166531516,5.122800623871681,0.19697960396395786
s77,88.00151447550022,1.5734670851379937,86.6586846601862,5.053470127510031,0.19284293791920348
s78,89.16379396314153,1.557094717423234,87.8384839329579,5.128008724756263,0.19726221781594971
s79,89.35843760223449,1.5707904976975784,88.01747598147945,5.133657075204422,0.1956035903903866
s80,88.11683820852163,1.5795269880446001,86.77154876503096,5.064684625098523,0.19429852232000228
s81,86.38670857869701,1.5731773863727465,85.04251112777587,4.957741920764055,0.18892060883512324
s82,89.27558048238544,1.6070589853158288,87.90419000045385,5.128967733286473,0.19617840594616656
s83,87.1624454851141,1.5725992645857017,85.81762244358957,5.007947085130244,0.19181910536486602
s84,89.59041104350275,1.5934244993151085,88.22910163274635,5.149748688794986,0.1974114291023722
