,node1-node2,node1-node3,node1-node4,node1-node5,node2-node3,node2-node5,node3-node4,node4-node5
s1,0.1359422977959069,0.9915111004410392,0.9734944748126393,0.7637116330217425,0.02209511303301506,0.0,0.9818215368021362,0.6457178433034593
s2,0.13633998336957556,0.9915193965922531,0.9734046212610853,0.7621090857032112,0.021663348113735936,0.0,0.9817250203021732,0.6431326558030509
s3,0.13466857744347854,0.991694383218707,0.9739187379992317,0.7661041970531381,0.021477401543998777,0.0,0.9820702644806008,0.6491331130194884
s4,0.13493471485693487,0.9917391025409149,0.9735740858026161,0.7628223932695505,0.021964088857973504,0.0,0.9816783313824795,0.6435562861576606
s5,0.1349433632548151,0.9916722939494161,0.9737461712524332,0.764123284514891,0.021548214306710542,0.0,0.9819120408518359,0.6460143355786225
s6,0.13363904564605686,0.9919642643177884,0.9742214871905249,0.767156707288325,0.021613095594112154,0.0,0.9821097984398031,0.650183536343767
s7,0.13585209689255842,0.9915623276831325,0.9736322305086199,0.7646490857190551,0.02186541414477363,0.0,0.9819110326620691,0.6469616390300138
s8,0.13263832509365014,0.9920832457802988,0.9737495273070625,0.7594875578236969,0.021127979124328566,0.0,0.9815161606620072,0.6380624925510736
s9,0.13500843905414908,0.9917376789661921,0.9736885287322681,0.7637255508022797,0.021555099661779185,0.0,0.9817950295427208,0.6449451738720552
s10,0.13723705591951602,0.9912487705180241,0.9733542255521755,0.7650367535272607,0.021626873170944617,0.0,0.9819387537130613,0.6479175318715463
s11,0.1345523945945952,0.9917885131192193,0.9742152166779674,0.768527080715713,0.021221403964027632,0.0,0.9822773593725094,0.6526572201035988
s12,0.13564743603751414,0.9916099294848718,0.9736568406079215,0.7648610685531618,0.021421657596517808,0.0,0.9818909479841548,0.6470313320543217
s13,0.13845089637543873,0.9911447564383639,0.9725402243760525,0.7567413813924717,0.021721093323143287,0.0,0.9812207285685259,0.6349360004127805
s14,0.13636337389761055,0.9915328450398815,0.973568568303587,0.7635902774794254,0.021142424752033526,0.0,0.981878776648373,0.6453086430934195
s15,0.1366040056849425,0.991461371549157,0.9731832937499573,0.7599432237074378,0.021607326953174473,0.0,0.981560470657425,0.6397592004182531
s16,0.1371950182507682,0.9912873140707537,0.9733045959899335,0.7638089026609819,0.021674521474559758,0.0,0.9818485532315469,0.6460658182986628
s17,0.13660731346947458,0.9914388472426833,0.9737858295552658,0.7680902606336482,0.021451411318120773,0.0,0.9821868120365882,0.6523013911977256
s18,0.13453965756589975,0.9917720405815892,0.973925726441079,0.7653169428190966,0.021127152300882496,0.0,0.981998882087541,0.6475758975319281
s19,0.1370424774470465,0.9913413652235994,0.9734004520984384,0.7649591608298808,0.02185833218717632,0.0,0.981892580732262,0.6477574765143793
s20,0.13672854915554114,0.9914542791671335,0.9736568693444432,0.7657450942365235,0.021232443430239938,0.0,0.9820434352221225,0.6487119938658414
s21,0.1372032590296768,0.991321500085414,0.9734746895742944,0.7650961419102272,0.021609397529776652,0.0,0.9819915943873271,0.6482132361501138
s22,0.135029419564707,0.9917494817321816,0.9739968697930271,0.7663920809974222,0.02134202269297172,0.0,0.9820962994015421,0.6494623589663784
s23,0.1355284399519659,0.9916153351673959,0.973892922156286,0.7672928387741704,0.02115317455363669,0.0,0.9821229761755031,0.6506593782974245
s24,0.1361641962072295,0.9914613859172206,0.9734209129937007,0.762968046872003,0.020935617228412844,0.0,0.9817982439032736,0.6441848912174839
s25,0.13782255631603924,0.9911808858974663,0.9733092447301217,0.7649035720355589,0.0213936226634608,0.0,0.9819616083743997,0.6478683023565812
s26,0.13558484809282997,0.9916353934228521,0.9734325023366095,0.7613775359143257,0.02130118252017104,0.0,0.98163891270072,0.6414533511450041
s27,0.13656076651966645,0.9914445939542413,0.9733823358639786,0.7627849096397445,0.021410434847008844,0.0,0.9817745483763565,0.644086409755913
s28,0.1373140226517439,0.991299381404601,0.973145433906757,0.7621541898232701,0.02131892285907698,0.0,0.9816818861752347,0.643021560869566
s29,0.13751507728390797,0.9912555446518698,0.9730643921027867,0.7611750932791206,0.021393143386727147,0.0,0.9816393758887282,0.6417728509782182
s30,0.13727585974882325,0.9913653788481799,0.9734415358662992,0.7644242768147107,0.02118678261018841,0.0,0.9819159423450817,0.6466995363964905
s31,0.14041226588897449,0.990820629663044,0.9727158291224084,0.762368843665036,0.021445324371504114,0.0,0.9817222710301362,0.6443075009799603
s32,0.1377097072422821,0.9912303972712885,0.973192043763746,0.7632154693221036,0.021024549322057173,0.0,0.9817961544606529,0.6449962906436784
s33,0.13825749346747873,0.9910863955677954,0.9731736594909649,0.7643436292401511,0.021423627860367996,0.0,0.9819197036457532,0.6471145646591984
s34,0.13938645330891836,0.9908867800004622,0.9731503036599465,0.7666845726000286,0.021171796308566523,0.0,0.9820876958266402,0.6507755514687026
s35,0.1377042721443879,0.9913505681871795,0.9735831230893677,0.7666752027392089,0.021226351300414968,0.0,0.9820743028659729,0.6501357337116295
s36,0.1348542724147879,0.9917090673702255,0.9739585381052518,0.7664056097650251,0.0209583078785115,0.0,0.9820953070881244,0.6493184742839077
s37,0.138144846595441,0.991134376764764,0.9731405168507122,0.7630358424975542,0.021292474840871493,0.0,0.9818398243478872,0.6450434288582425
s38,0.136268983399209,0.9914192578096874,0.9734522983616387,0.7637717472169779,0.020963185948920632,0.0,0.9818716607407546,0.6455115325416183
