,Var(y1),Var(y2),Var(y3),Var(y4),Var(y5)
s1,1.2070127763385337,0.23068612852976325,0.12219099660694906,0.05101768040040294,0.024312288231309803
s2,1.1950485406823967,0.22748797775238766,0.11952266457632427,0.04948636257656891,0.02235207477361816
s3,1.2282565713923697,0.23186540495422278,0.12176700159516651,0.05054637923434276,0.023384286361048078
s4,1.193835441719556,0.2303400616932755,0.12168804319337759,0.05101003820189824,0.02389633991540436
s5,1.2003867154165366,0.23179399345428559,0.1222150098578945,0.05138174887700321,0.022179315856239126
s6,1.2150509604528419,0.23204722024296967,0.12204546516157536,0.049917427833556474,0.023388614903536133
s7,1.2171473798891308,0.23176895548483972,0.12327467022342115,0.05026395352685966,0.022589125356828946
s8,1.2315832501706407,0.23354887330200244,0.12132712631773426,0.050997658304872205,0.022527833237236665
s9,1.1975504478682841,0.22899277063402038,0.12030498976825404,0.049375740463081366,0.022366413986739844
s10,1.2288476544207059,0.2338545345135012,0.12370070543495143,0.05051577533174912,0.02274524060384385
s11,1.2333688312539381,0.2339852049613449,0.12214901877534713,0.05098609141408897,0.023519810585174494
s12,1.198445537688267,0.2286380161430484,0.12020634024065723,0.0490059933066623,0.02234565313202072
s13,1.226621582319317,0.23119726197891463,0.12228836793293438,0.05079215980812195,0.023367209033483632
s14,1.2273575193827493,0.23146935349462305,0.12118867289415086,0.04989665075461578,0.022838143774528114
s15,1.2300095972177714,0.23120098978016937,0.12134303533894321,0.04967217543747945,0.023414738639366984
s16,1.2406943928530294,0.23313610902744208,0.12387745926787405,0.050630578287656464,0.02385610280548892
s17,1.2457297832673606,0.23329764841554174,0.12166761440666105,0.05105728682261123,0.02224777460773526
s18,1.2422993977429904,0.23436520313193324,0.12193362657149368,0.050561818549291794,0.02286751230796324
s19,1.2314351010983675,0.23045850784581906,0.12301903050919195,0.05112431431761258,0.024019109552179306
s20,1.2382949311961493,0.2335511281385542,0.12374137914855059,0.0519015716990699,0.02417779365055096
s21,1.229824051123831,0.23369184848248098,0.11972300615290761,0.049807100830817144,0.022443708429346617
s22,1.2442744904684024,0.22847963126321624,0.11965904179042301,0.050267532608252764,0.023011553319999434
s23,1.2247881820066628,0.22700580234548054,0.11972781089380874,0.049456285146381715,0.021604492232702516
s24,1.2467455393267717,0.23391083784297673,0.12201456177466467,0.05070525648222406,0.02320323830331476
s25,1.2292778074226105,0.23024990724869535,0.12233452291772405,0.050554693128600496,0.02272794194201004
s26,1.2574950727853182,0.23199902244548787,0.1211214749774618,0.04920671430923266,0.022643168386746276
s27,1.2461397834686911,0.23713072809435234,0.12421054274784707,0.05199809012295083,0.023852909492252328
s28,1.2374085689197991,0.22871152230713332,0.1194249802643398,0.04874566544251943,0.02191695834698666
s29,1.2491947700328878,0.23104306257840881,0.12028150854337599,0.04973442020142554,0.02317565198832486
s30,1.2416088717132605,0.22717845313009377,0.11954342444449456,0.04976552170051419,0.022730052264760898
s31,1.2755512957931536,0.2324012597843108,0.12197054985915355,0.05128363198726307,0.023080149325568147
s32,1.2684624438285617,0.22984192978370932,0.12341393892709526,0.05167462742409542,0.024291177641522495
s33,1.2666964582472204,0.23066493393737314,0.12229570455073165,0.05047215017972516,0.022941937459526725
s34,1.2678038371700568,0.23409862705423137,0.12453684239493015,0.05173118015677187,0.02438157906184118
s35,1.2565973057465911,0.2323789733012628,0.12118205792263068,0.050728660894771016,0.022745132893431348
s36,1.254015859677049,0.23271168800443004,0.12043849553359408,0.049979847792872595,0.02276445461350452
s37,1.2554371131786983,0.23218208976837734,0.1222131835550991,0.05074032106413323,0.02291109857579641
s38,1.261078012508914,0.22924048878736855,0.11982595222912476,0.048745028596449816,0.02301426847878569
s39,1.275049663016009,0.23180041901189075,0.12238932328321044,0.0511395842711575,0.022901484819317697
s40,1.2696517980940325,0.23430525172338001,0.11895542610528136,0.0492655653451496,0.022507339646832453
s41,1.274232553008898,0.23471164285084026,0.1213828136565546,0.05062936856589719,0.023285814620221897
s42,1.2792046289447123,0.2303159597980673,0.12070019990990491,0.04997904003816949,0.02270073888802177
s43,1.2855951693199696,0.23238451997937296,0.12143911017508183,0.049691522616420035,0.02189814810014041
s44,1.272726211807843,0.22742816731567675,0.12064796928805915,0.05059502449871829,0.024019752883179202
s45,1.2612209828736574,0.23014652500372917,0.1198448634826877,0.05018029815005598,0.023558224171462604
s46,1.2731349926080122,0.23190744590171,0.12431681540759976,0.05179843723410991,0.023777768941523326
s47,1.274283362249686,0.2300840212354468,0.12090871018571633,0.0501999529494466,0.023714106035989634
s48,1.2760035961265306,0.22875189903045812,0.121698216353159,0.050554355649332396,0.0230268109005708
s49,1.276157771843134,0.2266875313632208,0.12012130767055869,0.04945098802391693,0.02188425165391275
s50,1.2845839309414286,0.2277349941172321,0.11770873897603275,0.04905164744902599,0.02228997202757486
s51,1.279017896010191,0.22998664274707267,0.12191765127318636,0.050664217205037734,0.02297781079704016
s52,1.3154903621972198,0.23388759083547483,0.12101177801786941,0.04993886457245052,0.02139475583215056
s53,1.278722022120792,0.2284167041291952,0.12080488745064365,0.050839142947722155,0.02276934825993505
s54,1.2890319354731488,0.2293454450545846,0.12135233830451905,0.051301691978864465,0.023050095474745205
s55,1.3343920646056646,0.2396769529657161,0.1261451579692764,0.05210803055182865,0.023828067500635455
s56,1.3000719329646577,0.23184575660675424,0.12009611373652755,0.04885922929919792,0.022740926836440946
s57,1.3172866826959846,0.23431044218491343,0.12214988962756541,0.051005016696291754,0.023721959892103114
s58,1.3153420769161333,0.2319846619845886,0.11983192567882683,0.04953272055595043,0.022935873114031956
s59,1.3038107136773198,0.23027503484264253,0.11937403306350837,0.04823418135364222,0.02173806448433893
s60,1.308862303725444,0.23410409081682088,0.1221733078167324,0.05065375621087967,0.023245664010728053
s61,1.325943473149663,0.2378968479041068,0.1232982551976674,0.050926479862918324,0.02285653413611046
s62,1.2969423443943189,0.22946760287385734,0.12050648200532231,0.05027015469731242,0.023405035551545873
s63,1.3089630353636483,0.2290319307520274,0.12272799893022926,0.04964475615263457,0.023342374840157033
s64,1.3088682523117585,0.23145494739434222,0.1226315683876684,0.05211437568980087,0.02357249790592682
s65,1.3296743435794347,0.23071134520327477,0.12085786530388233,0.04922594332361274,0.02212212560937463
s66,1.329104019201132,0.23213478259270115,0.12145142705066175,0.04916806053556831,0.022401600383905138
s67,1.323579557221441,0.23006718350527244,0.12217240059086774,0.051075715247557746,0.02446007468365577
s68,1.3074905616110812,0.22864229705667757,0.11940580974005906,0.04981688891860934,0.023154632492164717
s69,1.3539757920112419,0.23058333559412922,0.11862479604004651,0.04890859943525489,0.02253673129462348
s70,1.3274963158862427,0.22930015755392683,0.1221233224772699,0.05137188637892738,0.02361622271743442
s71,1.3337035595145892,0.23332610622948874,0.12199430649010734,0.05119682058071854,0.023451633589899427
s72,1.3057346666348788,0.2258828464025648,0.1205199279301195,0.049201989350702864,0.022880727604767562
s73,1.3247191146822963,0.23141390098454534,0.11988630166892005,0.0501933643677045,0.02336582293741405
