,SD(y1),SD(y2),SD(y3),SD(y4),SD(y5)
s1,1.076800367420851,0.47427753328519995,0.337420307892056,0.2124853155081777,0.13761845585829557
s2,1.0768548796592556,0.4682791940659433,0.33420228344285297,0.21144871554544495,0.13821195060607666
s3,1.0832605027942428,0.472675407864595,0.34083852929196773,0.21346316282351413,0.13813138533578942
s4,1.0850816635418072,0.4788215801474999,0.3412435641954542,0.2169316841549452,0.13729227667230295
s5,1.0733645750051222,0.46793488099660396,0.3358288241759025,0.21213898908536336,0.13576799561957162
s6,1.082614918062807,0.4765297374735371,0.3416956431691974,0.21465198238669647,0.13534125033859612
s7,1.0791830183263724,0.4723448902646557,0.33707144339971107,0.21203515941292628,0.1370735807007058
s8,1.0754600263406517,0.46790870022585707,0.34039744217648704,0.21732469335695687,0.14093211005601358
s9,1.0876146884576456,0.47412842050871634,0.3395352160108025,0.21589249889504494,0.13596562306726856
s10,1.0854637635539506,0.47070390297951614,0.3355414891475623,0.2104534535532889,0.13499825125663945
s11,1.0901207216108029,0.47247457403172827,0.3414861018269074,0.2134772902636849,0.1359167182684729
s12,1.0842713050394848,0.47044151369356146,0.3380890345200455,0.21281950679838457,0.1365950321274335
s13,1.090395560451548,0.4712188238570156,0.3333938195877703,0.21406372161583911,0.13973157036279477
s14,1.0875709603281714,0.46513291863244954,0.3353399906751737,0.2118061908058412,0.13580047691817287
s15,1.0900911552743597,0.4735087980986768,0.33684924774040365,0.21448242658702807,0.13970668412778456
s16,1.0978974738239684,0.47610731572279913,0.33932345195103636,0.21413234880767995,0.13734223812919966
s17,1.0879133541948423,0.47040202612978493,0.3374513453872396,0.21033200617064932,0.13265246467870295
s18,1.1012763533787322,0.4753382659202905,0.3441360897326803,0.2159566153702321,0.13827358090108022
s19,1.0918244122182004,0.4760133410039209,0.33835051340875266,0.21201240668272153,0.13752663605929807
s20,1.0957006855382423,0.470648835391828,0.33804615603971827,0.21188627993075995,0.1354941139515467
s21,1.0953797922388602,0.4731482136540844,0.3374117580468086,0.2102553308304212,0.13890439098098137
s22,1.101089270709899,0.47703798670095116,0.3429971002238136,0.21522799149966695,0.13869317828769456
s23,1.0887710136619217,0.46823546736213634,0.3381552415277953,0.2125746078904939,0.1322296102351104
s24,1.1052088351977711,0.47201275302053186,0.34153519403826144,0.2167092977763176,0.13841637986124908
s25,1.1143462508418691,0.4775981921056785,0.3423176192322283,0.21513191897161252,0.13824470213803947
