,node1-node2,node1-node3,node1-node4,node1-node5,node2-node1,node2-node3,node2-node5,node3-node1,node3-node2,node3-node4,node4-node1,node4-node3,node4-node5,node5-node1,node5-node2,node5-node4
s1,0.08965166330541906,0.1439833172905591,0.037418929138003425,0.005576105234704207,0.10753946068354783,0.0024876993571426873,0.0,0.629000470827552,0.009059978906003732,0.03794001072236553,0.6176265788619641,0.14334854080674742,0.004740270053618876,0.48499278104903343,0.0,0.02497886924594589
s2,0.09191869487622782,0.26340444148317343,0.0639220547819439,0.009224412576934961,0.12546233153188152,0.004589286592001719,0.0,0.7107244458783586,0.009072225459096504,0.06489741175327939,0.6977765607074502,0.2625517192528551,0.007849463393300154,0.547565978290087,0.0,0.04268468254221035
s3,0.032564278620106094,0.06417598971080761,0.016089710478201347,0.002720216919540379,0.04083363799740083,0.001074857142371472,0.0,0.22744879794722825,0.003037982062039399,0.01634185483734715,0.22332986533122692,0.06400130834350212,0.0023165654352040733,0.17532211414732018,0.0,0.010756702535381383
s4,0.10655343478512506,0.14710942270378596,0.03460610661290133,0.005677612358773371,0.12414921545700237,0.0024135074284315,0.0,0.6657238127517943,0.00937401652836303,0.035201142732519196,0.6536475589737769,0.1469244466766182,0.004841848793332497,0.5130153200085364,0.0,0.02316247253447239
s5,0.10396499936874669,0.08572722412448205,0.022447106610379547,0.003836307645011599,0.11472041095263844,0.0013438826261690812,0.0,0.6062993504011852,0.008613430268279067,0.022843337692418832,0.5954646855205801,0.08568146027905424,0.003283282996896217,0.46891944221458265,0.0,0.015128556405744908
s6,0.18248347905144877,0.04504038589734398,0.014252409964669565,0.002336574015571922,0.1889227565241262,0.0007012310649382791,0.0,0.9751760905607698,0.014664976377738495,0.014514665301348921,0.9572257965567621,0.04502483933145346,0.001987254966100785,0.7480724286323046,0.0,0.009473088809745227
s7,0.10894190622299314,0.039150277030880976,0.013380351937333267,0.0021698616920882334,0.1145678716153358,0.0005865481230644713,0.0,0.5733033461351035,0.008167429822045632,0.01364613092886613,0.5627285852955858,0.039191450473653265,0.001846808536030338,0.4394078232330928,0.0,0.008892546917464867
s8,0.24466031025572405,0.15598495526922038,0.03798362238108125,0.005608372400218536,0.2624435150748608,0.0022573814482543075,0.0,1.2673691474574802,0.01709830444332212,0.03879064090174187,1.2445200404888417,0.15642712089454366,0.004804488201166086,0.9773152384842828,0.0,0.02555285575984796
s9,0.2650534947532091,0.23732379670283213,0.05680469430117992,0.009505615906155236,0.29397807071283155,0.003402490273268214,0.0,1.3526829526110027,0.017485184569234136,0.0581374006098278,1.327469134073251,0.23836423099807647,0.008104999518938241,1.0353117149997542,0.0,0.03777492886077991
s10,0.17406100293303584,0.1578135586667571,0.038043432519341155,0.005781940534102481,0.19288083033367368,0.002092454249112652,0.0,0.8730027931345661,0.010445751878370357,0.038964708221933736,0.8570501743209055,0.15868163301792534,0.004951111711089849,0.6709082055066516,0.0,0.025501495828886545
