""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.67840903,4.454166214,4.666846334,4.616082932,4.349902977,4.694509158,4.586627828,4.593405358,4.508418384,4.523094678,4.663408412,4.253304254,4.431155924,4.579198867,4.303735292,4.431864457
"MED6",8.206042447,8.394970935,8.052909569,8.128446117,8.472102777,8.061987671,8.265517653,8.466704812,8.307138005,8.430182359,8.367566296,8.333249512,8.371104998,7.835717244,7.689859837,8.361621105
"NR2E3",4.540325267,4.547124692,4.51023851,4.537275495,4.452496468,4.678922665,4.572058588,4.526083259,4.514312368,4.427159149,4.60323588,4.611735515,4.453293232,4.601166707,4.481759027,4.36138967
"NAALAD2",3.945063427,3.291888276,3.594732321,3.757955279,3.818854102,3.810843435,3.85541379,3.524906518,3.549590711,3.573018983,3.366053422,3.861279484,3.797676905,3.760984377,3.709145286,3.799813265
"NAALADL1",6.697729313,6.675826231,6.754211318,6.665545617,6.87515319,6.566804026,6.468333184,6.762188775,6.731760983,6.939238753,6.87173211,6.758047691,6.691397331,6.702647467,6.657167664,6.743604272
"ACOT8",8.411181674,8.483951276,8.536205151,8.536486265,8.778080966,8.737291428,8.518631361,8.669062478,8.525377511,8.688568826,8.622183043,8.458090272,8.721584455,8.406159786,8.666863206,8.622896026
"ABI1",9.424459228,9.470951335,9.343284202,9.264025944,9.757921227,8.823480622,9.460072124,9.718078517,9.385478906,9.726329167,9.558605973,9.249729775,9.253041234,9.351662833,9.674665973,9.910184322
"GNPDA1",8.391533168,8.308963506,8.276651706,8.357681717,8.513332399,8.307177473,8.197636908,8.536084883,8.492939938,8.355729743,8.454063461,8.435566389,8.549425478,8.280093606,8.470547904,8.171710905
"ZBTB33",3.58198187,3.704109032,3.592304734,3.600726771,3.451055277,3.759567554,3.611909982,3.766921908,3.795211969,3.648824486,3.510081083,3.692196223,3.856043226,3.574917246,3.528606022,3.669918547
"CDH2",4.817754733,4.764210515,4.746312412,4.871103067,4.656041695,5.000800609,4.94992478,4.636078636,4.88759277,4.566801169,4.83587347,4.884376402,4.803177657,4.876456858,4.640990744,4.604315217
"TANK",8.883733377,8.835157266,8.719435403,8.755932736,8.872861022,8.560669735,9.035822729,9.036567624,8.856547937,8.85549794,8.940883026,8.865231723,8.758222838,8.669374295,8.570533979,9.085501052
"HDAC6",7.901436187,7.91874981,7.73591427,7.795178267,7.547215478,7.936597895,7.627099501,7.715933171,7.846100737,7.720040573,7.729157932,7.893823589,8.018285228,7.87383746,7.619097973,7.434371549
"HDAC5",8.619758086,8.532058311,8.702575508,8.640994409,8.470292987,8.699404824,8.703460221,8.794957977,8.542152171,8.430652186,8.677979228,8.48994161,8.658657323,8.485415809,8.744922748,8.202249222
"PDCD6IP",10.69362678,10.70751432,10.62597875,10.70687123,10.56102749,10.62260456,10.60233002,10.71096364,10.73699937,10.73400558,10.57269654,10.65313234,10.68967285,10.47929957,10.5476389,10.45864539
