""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.310680715,4.804844797,4.536454275,4.589358885,4.20442569,4.454587563,4.174932233,4.603667017,4.560484795,4.525319427,4.501752628,4.343163772,4.374908598,4.65893461,4.342057585,4.664923679
"MED6",8.274706796,8.049424721,8.149137167,8.356407857,8.419730437,8.28949538,8.340498123,8.307589544,8.114293585,8.261650997,8.336240522,8.089257587,8.015395887,8.381514023,8.344684978,8.410672012
"NR2E3",4.664517591,4.688817019,4.640182192,4.567751721,4.541109733,4.651822351,4.564525244,4.574447048,4.62087351,4.778080044,4.668934369,4.694063559,4.662802646,4.558854574,4.611177709,4.542850442
"NAALAD2",3.742701526,3.760168629,3.602054767,3.606414198,3.63351148,3.743817551,3.691366361,3.692583095,3.661847777,3.809159189,3.686753568,3.864471076,3.816121074,3.689677318,3.639722508,3.738155602
"NAALADL1",6.56087854,6.228450716,6.539237592,6.556410788,7.19273958,6.517782076,6.781367395,6.627427333,6.525414876,6.580240121,6.768625928,6.552058448,6.386867709,6.605506301,6.729244867,6.849703572
"ACOT8",8.577535983,7.667416234,8.604288319,8.561204882,8.74762588,8.650359487,8.682345102,8.566787638,8.80261346,8.717331626,8.554422459,8.665468052,7.956503975,8.501577591,8.643666926,8.702413261
"ABI1",9.099113896,9.276611255,9.035257405,9.573173578,9.495728039,9.485645523,9.452152864,9.520699178,9.355919252,9.508152671,9.521075301,9.415757214,9.309685493,9.388233509,9.327548523,9.34471661
"GNPDA1",8.604988071,8.732100755,8.509453275,8.659108937,8.619656654,8.449704239,8.44860274,8.601437545,8.507256173,8.767667345,8.593957286,8.54076602,8.860384729,8.399325185,8.37052124,8.419950913
"ZBTB33",3.409261945,3.708861087,3.516368213,3.764973187,3.726345214,3.429205027,3.709863029,3.638909139,3.688035133,3.59366902,3.7364209,3.686729795,3.551400226,3.698148334,3.743621143,3.774336519
"CDH2",4.997426934,5.088127388,5.142375478,5.048192679,4.717618921,5.09956648,4.778664884,4.907872392,4.943271011,5.039131398,4.894376189,5.130804561,5.132014135,4.807701746,4.875876598,4.957725927
"TANK",8.646057314,8.435497101,8.618506771,8.919005918,8.688692046,8.811039507,8.917071795,8.81445733,8.813956582,8.870293197,8.807148614,8.919773978,8.492297917,8.835146331,8.936158782,8.823612218
"HDAC6",7.836074699,8.013875027,7.7920043,7.689903998,7.768875729,7.677178041,7.693214139,7.837179701,7.920719921,7.968265838,7.784181314,7.740938361,7.896682999,7.747473558,7.680408109,7.693496684
"HDAC5",8.992045115,8.782632448,8.98683267,8.754852253,8.893984866,8.838205748,8.803718885,8.781647908,8.647443298,8.894684278,8.844854755,8.882719729,9.08729304,8.79575988,8.885943708,8.77933198
"PDCD6IP",10.53081265,10.77076912,10.58880567,10.64654418,10.58415114,10.61893746,10.51212868,10.60443553,10.56486179,10.70468763,10.52461216,10.7333164,10.73290795,10.45807191,10.64142368,10.54639868
"PDCD6",9.680921532,9.779980704,9.587320042,9.758721539,10.01243905,9.829587606,9.97000891,9.741810883,9.743990183,9.890430489,9.885674576,9.694881786,9.689814551,9.754661577,9.816104917,9.876542897
"BCL2L10",5.027341273,4.873490895,4.869522403,4.868521446,5.100896975,5.141432529,4.766972491,4.820521385,4.811259677,5.048265858,4.936510483,4.932663971,5.15987124,4.847966644,5.00672573,4.86842652
"BCL2L11",5.146612005,4.703583569,5.104013614,4.832283974,4.644013043,4.913726441,5.001463226,5.08988438,5.022123406,5.14935329,4.529207116,4.964113307,5.177929153,4.780723743,4.776982085,4.687512826
