,node1,node2,node3,node4,node5
s1,9.612330821645218,5.296555341054022,4.620547279045802,2.3442294345481636,1.3351424749785081
s2,13.957611752676005,5.204193429859564,9.14249064540959,3.3340298746162604,1.543108524477101
s3,3.2202706341517833,2.4555906692856198,1.5978591136768685,1.5375880034613971,1.1869054145774809
s4,9.547994536693677,5.602231267305051,4.614146838209146,2.184547664017945,1.3688046725075929
s5,6.981753646042874,5.108431923465225,2.348972656893866,1.7494106947527153,1.2603173873178135
s6,8.742367790543327,8.294601633201141,1.1513292349847546,1.485630223289948,1.157851058347479
s7,5.266679779206403,4.966183001423832,1.002364596730218,1.4600152927005314,1.144039466892594
s8,13.915662084282095,9.475299642807501,5.041940218162443,2.377839763237104,1.3435858859448038
s9,16.984196153397626,9.156616790375544,8.139194246783777,2.915435648107819,1.6674153308436097
s10,10.573863336951641,6.065089421990055,5.111466905060387,2.364841145280562,1.3592718916259185
s11,9.400964929042882,6.348769424202277,3.5873081056191523,1.9958358423959235,1.3241989713669091
s12,6.032791405174557,6.421131878342792,0.4265779576610567,1.3229017297560393,1.0996947965071868
s13,12.287043976311026,8.208731250132686,4.746679321872854,2.2192236838481465,1.386455405517051
s14,11.560071421242435,9.058319225547702,3.043237927466735,2.02325320569077,1.1941986731651073
s15,12.015039594666245,10.22783138459926,2.3497400929770067,1.7513065170753204,1.2460404629736137
s16,24.767039671537177,18.90358140588697,6.3848153882697645,2.6589932360702813,1.4346576560232192
s17,28.51616173508382,26.55715549460912,2.7433676216645737,1.8914502130226618,1.1796039137434966
s18,36.560900713102505,28.506995239694497,8.39659396929969,2.8904813953168955,1.730261863473519
s19,4.664585174645641,5.549389545705808,0.05080919481006696,1.2257842246414645,1.0657375447130115
s20,61.82951415277533,52.01330836876033,10.147213329771954,3.290812793641973,1.8105112497343014
s21,53.31467571596634,50.435905201454005,3.5605560790676973,2.0335781498618526,1.2605027351466644
s22,41.13093832615181,39.29438763889829,2.546586933819906,1.7455468882731846,1.2620206365646218
s23,28.977468563551483,27.58755840319715,2.018011743959372,1.6388047643799712,1.2450282675030586
s24,38.8708162790024,37.23118455424927,2.248926895935969,1.7168352905018098,1.2342604175436778
s25,10.953460882167432,11.355349176825568,0.25121746060750694,1.33274400565239,1.0920724719896397
s26,14.538516337683483,10.549487379525765,4.641904542274181,2.378303335376103,1.249353292318817
s27,23.325512011321578,16.842773646546753,6.989219738247828,2.782735295686118,1.4707493299267027
s28,11.861487374061603,7.0938366826624195,5.39593717765831,2.3341885977253742,1.4448787321420562
s29,16.05567504736313,11.519640478648437,5.134167017667052,2.259855765229199,1.4540751070097702
s30,14.239255238418762,9.978350779191079,4.7412298451312935,2.3721278659421157,1.3113266804116592
s31,12.327821797871286,7.710081863464636,5.202867904942095,2.31155573464594,1.4158470938938532
