,node1,node2,node3,node4,node5
s1,0.4432263005188232,0.38313935575127667,0.09004132457851725,0.02256254624621948,0.003792407014804505
s2,0.34985225576102047,0.29961090995460193,0.07059327501406669,0.018679513121521323,0.0036818594859962324
s3,0.44605574789625857,0.37688777882601443,0.10522330867510801,0.025106433989265636,0.005288137968812243
s4,0.6199287873307574,0.5593601822323931,0.09641977779214239,0.023863124624456056,0.004809239518049848
s5,0.32613440049829884,0.2905748388130087,0.05288783894236929,0.015098379168185095,0.002858699622012344
s6,0.6234155032929141,0.5422328783359053,0.12980550393362422,0.03271432035951743,0.006294052155870981
s7,1.0040672429520872,0.8707609055777967,0.2218662956650593,0.05607050835010151,0.009258529739392105
s8,0.45454717677895357,0.3925165000438781,0.10422263575225035,0.025784581196151568,0.004988426277871867
s9,0.8702876357664587,0.7998898548215919,0.12991509960807862,0.03128922275494057,0.0064507028979922795
s10,0.957620722396933,0.9374544597283926,0.03424289699472462,0.011824745350791607,0.002222814274114632
s11,1.7289049094647078,1.6222749587288143,0.21358211337575161,0.05433541332529056,0.00917429303831518
s12,1.4962139640974086,1.4513731372241137,0.09108417503779122,0.024584011156835537,0.004750057983718362
s13,1.425766061961912,1.3328265171435465,0.20077566578368436,0.04852835976337868,0.009978113821250575
s14,1.4167040785827782,1.3673611808500985,0.11820382450110471,0.02875678718187254,0.00604938441279276
s15,1.364828593347818,1.3409882893183522,0.05963698671681837,0.015778403749646622,0.0032306049677052456
s16,2.063409342821878,2.0393459801697738,0.064975399044686,0.01741845513440498,0.003461363899700367
s17,3.2230228095022975,3.20329720435696,0.05340924095090183,0.0161334538272539,0.003418504215384014
s18,8.190453523714625,8.176993342723678,0.034547511993687816,0.013320250594038194,0.002844621384729246
s19,7.173585479237524,7.149068066203555,0.10644665474455595,0.026666413202642462,0.005511071706135699
s20,15.579226294102098,15.569850947501772,0.04228559104322513,0.014101602995329691,0.0028054847167646143
s21,49.95601457630246,49.93370526215909,0.16778862452237367,0.04211696835675464,0.007890149285570707
s22,13.494385927869763,13.466010161986317,0.16099092580407187,0.03969359513922201,0.007268705578026086
s23,14.499334938193044,14.476884746405595,0.09879845170106052,0.025088764855828203,0.004894788418585326
s24,6.633155009418054,6.607609695459454,0.09777291242342961,0.02383124148107859,0.004642258442509628
s25,6.495928684954369,6.437208836153798,0.18647688274819627,0.04659205610858091,0.009578674093323868
s26,5.765609420154924,5.710456957255464,0.16493961739550425,0.04056117791672003,0.007529011729956899
s27,3.203126991905075,3.0942701431767117,0.279357005393707,0.06890494957759531,0.012942573059454962
s28,1.7939256944630304,1.73931002236149,0.1316165515190338,0.03266427575324131,0.006340437142517416
s29,1.510013524698497,1.4707011341710585,0.08228710143776397,0.02294448668655123,0.004358091248144199
s30,1.2561533554348594,1.188723864989259,0.1394306562309665,0.034706553146463044,0.007227718333355164
s31,1.1183834766714698,1.0860803209437142,0.06138760199960488,0.016511109315854654,0.0035500412034202293
