,Var(y1),Var(y2),Var(y3),Var(y4),Var(y5)
s1,2.0722441064218793,0.23693202481228515,0.12658242163765202,0.05247391244817548,0.024086391591889886
s2,2.1414413737673175,0.22930361062616347,0.12126625064585767,0.04973124580931237,0.023260723316792343
s3,2.2580064327874427,0.2317311919760882,0.12103490431737779,0.049768101704691085,0.02238421434925447
s4,2.4214125769322816,0.23259995428310173,0.12018547286251118,0.04956151084372255,0.021981844570575584
s5,2.5719572871631535,0.23175609746329248,0.12129407953065431,0.04954349444691313,0.022977819575837173
s6,2.712431626187829,0.2317231248003281,0.12086495830165381,0.050837406987646536,0.022762686523095304
s7,2.9593487026556065,0.23548011924856513,0.12435948485617172,0.05125776939285557,0.02350749681928752
s8,3.08564651096323,0.23115981356542273,0.11874987087495936,0.048882772729003536,0.022633682881130726
s9,3.376632346112333,0.2338744597854488,0.12053458284005555,0.04901719223916491,0.023102095622845403
s10,3.5967208480371347,0.2301652514498872,0.11964913780228072,0.05041497783396837,0.023554504121762576
s11,4.032906718487588,0.23171930410285127,0.12363721856886925,0.051405307821092566,0.024683801341665847
s12,4.459618073267268,0.23499963340469268,0.12180275728566393,0.05022962386093559,0.022488963916866243
s13,4.982541844925152,0.2290599234235249,0.11797722167775987,0.04945484255908273,0.022690917441458756
s14,5.7111868147211515,0.23096529485593165,0.12171650922784472,0.050766840093863334,0.024014344821359692
s15,6.724635747165331,0.2365522232969337,0.12155814817858308,0.051201497672086524,0.02396756241833917
s16,7.845966696929037,0.23300874847574507,0.12006869429916568,0.050361121478390086,0.023112344675191653
s17,10.015398796130627,0.22983657146499392,0.11785055243340031,0.04867424044362879,0.022266667049547665
s18,13.134831567851473,0.2332891480184394,0.12359492888903938,0.05116196433643464,0.023699329060427255
s19,19.857606026871338,0.22766934062564587,0.12158357099636649,0.050161986668324596,0.023166096797273238
s20,39.31590782023439,0.22968543716754503,0.12085102864134294,0.05003054553479673,0.022449499194485658
s21,88.71199843595488,0.2366233615331038,0.1229338377907179,0.050725424128960805,0.0239970487510871
s22,39.107544055981656,0.23085323562462043,0.12062669098166828,0.04929307303346353,0.021826152332725484
s23,19.789599836189012,0.23020530156908053,0.1210403551615475,0.04966077341924194,0.0214975824506456
s24,13.400974796158675,0.2309806662676704,0.11889454533841581,0.04931091073107218,0.02266630864085253
s25,9.960386645688953,0.23228651996965444,0.12082284134605356,0.05020920747101776,0.022904700489729576
s26,7.800856310862733,0.2286603470900636,0.11928666227516037,0.04945278835411074,0.02211704891243371
s27,6.489709031970038,0.2257381811555005,0.11940504514207904,0.05048184189296524,0.022737314704278415
s28,5.841504170360308,0.23801967339268404,0.12556022241721457,0.051984825684912535,0.023381807478588035
s29,4.991686526085666,0.23109521012080325,0.12055660035026919,0.05064079441405449,0.023345918898027854
s30,4.521770974773635,0.2339158740028427,0.12160918271538772,0.051204489486219334,0.024098494289411004
s31,3.9802368562401234,0.23565590958317337,0.12221261266227161,0.050808109648870385,0.02315945709207728
