,node1-node2,node1-node3,node1-node4,node1-node5,node2-node1,node2-node3,node2-node5,node3-node1,node3-node2,node3-node4,node4-node1,node4-node3,node4-node5,node5-node1,node5-node2,node5-node4
s1,0.06454033012760164,0.08878830778312714,0.021854257131901048,0.002894105398900341,0.07466205527393178,0.0015265838308360998,0.0,0.43705835484156486,0.0064958434161730225,0.022162450963695856,0.42931242925574803,0.0884446471112268,0.002471006658760635,0.33823996851041505,0.0,0.014701006984577828
s2,0.05216805479184112,0.06953998033054595,0.018062494761805353,0.0027856605726191007,0.060916044914237605,0.0011969923227895694,0.0,0.3446322469012903,0.005080256709554747,0.018335869945731022,0.33829599818683964,0.06929458499696327,0.0023634165404081836,0.26469495612802807,0.0,0.01199053642489297
s3,0.06710253293413668,0.10356598750122223,0.024257596845845386,0.003993676405294283,0.0794174610991755,0.001711912433955825,0.0,0.4390301406897366,0.006131710577267539,0.024645623335683636,0.43097480541703936,0.10329201004212155,0.0033888956168449972,0.33686759428845126,0.0,0.016089422137361798
s4,0.10009208215674008,0.09487839217846651,0.023057719150631716,0.0036460706256424545,0.11093024688528685,0.0015241298543586133,0.0,0.6100184832813638,0.008841936505161102,0.02343185432901281,0.5990055408341212,0.09467721529417134,0.003105761151700155,0.4699920087143843,0.0,0.015410578977956271
s5,0.054588101987993,0.05194034029292467,0.014555595133852116,0.002156458703490529,0.06126840847238927,0.0008243740107224489,0.0,0.3202916224572776,0.004529251905118178,0.01482092554723455,0.3144099270521545,0.05191595167848825,0.0018354688302675973,0.24601933027407674,0.0,0.009694129504679364
s6,0.1037649304235061,0.12742723002923828,0.03152146656332619,0.004737512617705433,0.11930052364705665,0.0019357275162945544,0.0,0.6119933926878868,0.008086060074703211,0.03210949021368807,0.6006840651479348,0.12740562886329335,0.004025549275848804,0.4692428247783879,0.0,0.02092342188653485
s7,0.16921852845972682,0.21767634067831032,0.05401049777036132,0.006987198305342069,0.19512449426542056,0.0032401198390647804,0.0,0.985105387844588,0.012716531263964118,0.05504971328113516,0.9671781687468574,0.21782709525027813,0.005959252467781112,0.7577463307759426,0.0,0.03608978149451004
s8,0.0795311161759001,0.10207847799323105,0.024806175315135542,0.0037846620033757626,0.09209968070079397,0.0014912467166760522,0.0,0.4451958410648225,0.005616236220728763,0.025326922447718694,0.43729920879465656,0.10237275497761657,0.0032548907043919344,0.34485974791852825,0.0,0.016824142320050025
s9,0.167078232318134,0.12704054746388618,0.030051417376429756,0.004877981789899166,0.18178267784708868,0.0017474634149693225,0.0,0.8510313122366798,0.010759167036954153,0.030731143221576277,0.8358589532504309,0.12759791331252593,0.004194392620331106,0.6581061484887996,0.0,0.020344958850928813
s10,0.20722927043877715,0.03337734698744461,0.011311785778212374,0.0016595796637669054,0.21168712954532953,0.0004547052561676185,0.0,0.9334151587330339,0.012448288774222134,0.01160491283876151,0.9160789638320558,0.03360629114468539,0.0014197624375266252,0.7149710594353451,0.0,0.0075527359518413675
