""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.698189659,4.470367317,4.788763676,4.685333531,4.583910249,4.616196894,4.626509312,4.563184334,4.507864809,4.663648333,4.434919694,4.527213073,4.65024125,4.392189702,4.818650163
"MED6",7.945345882,7.85877121,7.882618005,7.834924069,7.831819346,7.926597828,8.203379186,8.300205544,8.077773539,8.249734796,8.203524717,8.107706362,7.290245873,8.388256821,7.824724214
"NR2E3",4.768294035,4.761623991,4.722070523,4.788168611,4.657641918,4.765978072,4.623875875,4.311553957,4.799586919,4.527884476,4.418867873,4.75283347,4.663544181,4.406785971,4.708953006
"NAALAD2",3.717964101,3.933333725,3.689769674,3.747892079,3.809753565,3.782969669,3.748253437,3.679485719,3.852642261,3.633121088,3.635248258,3.743769388,3.617896556,3.79104412,3.622018412
"NAALADL1",6.496863077,6.583197555,6.37660529,6.603056542,6.513190826,6.500448267,6.691794772,6.527682279,6.337673495,6.572991616,6.445410387,6.347010315,6.174734026,6.682796632,6.372807756
"ACOT8",8.216156563,8.163341961,8.519003771,8.408608332,8.595437184,8.398308248,8.437208342,8.593480287,8.550048337,8.867311116,8.629403749,8.63231848,8.673482501,8.673196482,8.489169043
"ABI1",9.326373269,9.23994949,9.197884683,9.194911084,9.334334622,9.322189316,9.510945443,9.711658361,9.884528203,9.668498214,9.982249148,9.300043341,9.206832574,9.963598051,9.228956713
"GNPDA1",8.493722226,8.336634235,8.361558265,8.331767155,8.504013664,8.338265112,8.599360077,8.251302498,8.327424567,8.660506033,8.438559888,8.690526926,8.737715912,8.586454887,8.630917942
"ZBTB33",3.656743751,3.514204074,3.591562278,3.489387216,3.521584443,3.54126339,3.650377661,3.675293015,3.722157725,3.772571598,3.492915366,3.517838836,3.584773467,3.515344657,3.603588418
"CDH2",4.787883719,4.759974132,4.808566777,4.811086059,4.711051812,4.642700632,4.715109853,4.626726818,4.842818483,4.579175632,4.60211804,4.713837173,4.880563798,4.474387207,4.888726076
"TANK",8.78505198,8.769028502,8.960074817,8.649897102,8.618889727,8.939809152,8.982982093,9.612140115,9.806869985,9.600610193,9.88260387,9.200962411,8.680295077,9.679487807,8.843170971
"HDAC6",7.916667748,7.776023627,7.841858127,7.795182352,7.835083834,7.879169518,7.778779815,7.638083417,7.573382729,7.68043564,7.5978707,7.856897808,7.943025633,7.380068897,8.075778582
"HDAC5",8.814700383,8.859776126,8.804460376,8.833628296,8.99876796,8.888273784,8.86327603,8.787717363,8.601585039,8.799075275,8.410291352,8.666988941,8.352247358,8.505868021,8.362314743
"PDCD6IP",10.84924695,10.77498872,10.67299818,10.65012857,10.75828351,10.74301758,10.78221447,10.674469,10.57787464,10.67364663,10.65620249,10.76239197,10.59913212,10.71049553,10.67000706
"PDCD6",9.346088267,9.286839187,9.520602166,9.559141054,9.597148948,9.477051347,9.604266847,9.774137412,9.6377583,9.690150056,9.574823868,9.391235872,9.181239589,9.930485323,9.385191136
"BCL2L10",4.934133996,4.967175433,5.165692633,4.940108995,4.946777773,5.111891218,4.957748972,4.941699066,5.101118274,4.910392744,4.994423376,5.098049149,4.894487332,4.873429795,5.133052915
"BCL2L11",5.054626487,4.790412942,4.945675593,4.578862795,4.92487108,4.943038447,4.928284714,5.185461674,5.094688066,5.078801842,4.940780348,4.887304267,4.588791581,4.637622068,4.457987097
"SH2B3",10.85214386,10.73318911,10.59051649,10.6304043,10.76022526,10.85285487,10.62181281,10.61842805,10.70592497,10.74672179,10.86798178,11.00315949,10.76371075,10.78086291,10.59978787
"CDH3",5.485978273,5.740101804,5.650625464,5.462234799,5.497539417,5.421164075,5.543176811,5.260840094,5.251433004,5.4153954,5.606160992,5.324951202,5.589093368,5.417543041,5.579322008
"GNE",7.427744226,7.303680015,7.302451215,7.39776637,7.504747517,7.462210228,7.425393805,7.294041292,6.938723311,7.449940808,7.148430013,7.055148294,7.049468897,7.000473384,6.871490117
"HCN4",4.72463437,4.646962535,4.593249617,4.710883021,4.566772911,4.642476462,4.64853746,4.533042743,4.636984628,4.634451566,4.627062321,4.635521632,4.903102876,4.566884819,4.686964646
"INSL5",4.556809231,4.267180307,4.431428705,4.447588079,4.46126838,4.385096121,4.513408345,4.265145309,4.27434469,4.332077888,4.181502991,4.416756112,4.619305804,4.042255943,4.669665508
"FRAT1",10.72363957,10.63558988,10.87851397,10.73025722,10.9392241,10.66841845,11.02846,11.20725565,10.95496329,11.1901263,10.98467029,10.90267361,10.81834423,10.83651264,10.71003384
"TROAP",5.464832637,5.115836258,5.640592395,5.622385995,5.422852111,5.637616973,5.426120981,5.208692435,5.413064218,5.369532164,5.44563133,5.70154336,5.304715011,5.227880382,5.446476455
"MED16",8.518264993,8.495983406,8.386660958,8.601489948,8.548419012,8.488760812,8.532787831,8.434532424,8.131165727,8.428232381,8.198550289,8.209108148,8.33828849,7.87235732,7.927021664
"PIGK",4.634187614,4.56696105,4.821022515,4.800571274,4.972926137,4.759882398,5.090797057,5.669587057,5.636978679,5.459927267,5.541129448,4.992213132,5.380995752,6.975408342,5.681677425
"CDH4",4.484603599,4.49826794,4.618753639,4.625628419,4.388418586,4.348054741,4.440674628,4.341892575,4.618536274,4.388513288,4.526491886,4.470786806,4.870582358,4.401631143,4.80550603
"CHAF1A",6.489910856,6.656141429,6.583239056,6.604927906,6.609688462,6.470258313,6.471394829,6.434559005,6.296503269,6.532571998,6.474461603,6.622386724,6.814049331,6.650545912,6.689977919
"PARP2",6.595840153,6.604911338,6.584188947,6.562469199,6.764634999,6.693982776,6.635785385,6.414752697,5.76184556,6.201991623,6.175934513,6.01727116,6.264046942,6.569215151,6.328965556
"PARP3",6.50712017,6.668628925,6.467493854,6.555578067,6.494275262,6.490932434,6.579486078,6.600222542,6.877308887,6.903176967,6.854840528,7.16862768,6.875600092,6.68968237,7.050668398
"CDH5",4.390764426,4.79566436,4.64300907,4.760412461,4.365267061,4.69527305,4.527733977,4.368150743,4.435040038,4.486650927,4.36505178,4.852332871,4.588032866,4.333260821,4.845792223
"TOM1L1",3.645243204,3.499027975,3.688056965,3.704503546,3.796916915,3.583801114,3.732168426,3.59225785,3.809991231,3.648130433,4.017618706,3.585599194,3.625838775,3.714820101,3.670007682
"HMGXB4",7.962565105,7.983925255,7.992369318,8.084823687,8.22948787,8.048126489,8.151111975,8.206358922,8.094370617,8.030295583,8.176845405,8.191897623,8.430505219,8.373644777,8.149549961
"TOM1",8.244436218,8.403031232,8.235049888,8.211946801,8.665992498,8.30665423,8.535389157,8.578962011,8.400744159,8.481208578,8.344245606,8.471203803,8.219983884,8.075585318,8.325582056
"SH2D3A",5.879627251,5.639950786,6.13919032,5.970162938,6.090415867,5.945840789,5.930977433,5.802000006,5.622871605,5.708857986,5.656637885,5.900850288,6.064649709,5.801007574,5.768019989
"MAMLD1",4.77080484,4.73466466,5.137730695,5.05125689,5.107884257,5.010539196,4.992245684,4.931024643,4.945022838,5.0714522,4.88832778,4.976265259,4.815038069,4.808964753,5.112725818
"RANBP9",7.995232024,7.895369185,8.025104999,7.799862617,8.024710138,8.016327988,8.042428532,7.985323229,7.94501099,7.944817556,8.120834915,7.76114789,7.473732103,8.108059953,7.706166587
"DNAJB6",9.033593776,8.792120822,8.812387474,8.707583744,8.866299339,8.86760039,8.866840722,9.242642038,9.343358783,9.024570131,9.041005017,8.737410599,8.394509898,8.738435482,8.582711323
"CDH6",3.859820874,3.829808945,3.797961691,3.790269701,3.721899883,3.861171358,3.804961078,3.782472929,3.890806642,3.818663361,3.876616104,3.984411761,3.85510011,3.832947759,3.825630221
"SLC17A4",4.932486563,4.932282607,5.01247304,4.941613258,4.743190973,4.877417544,4.835303275,4.717935797,4.957476324,4.679945276,4.820582236,4.986155526,5.120109322,4.688228547,5.058840411
"SMC4",6.925920753,6.832751273,6.91930801,6.818597103,6.992239544,7.09633095,6.765553261,7.015980317,6.946823561,6.845662472,7.016391517,6.345829446,6.560553499,7.654469119,6.595839238
"GJC1",4.578309921,4.617498355,4.683130679,4.643437602,4.492870185,4.401127703,4.341918905,4.476591654,4.594945182,4.429511525,4.634779659,4.638346948,4.949290768,4.478783044,5.004904828
"AP1M2",6.64040974,6.423220064,6.648119353,6.565175994,6.572139297,6.637227153,6.582177089,6.448606679,6.604617502,6.63561775,6.626172849,6.868625732,7.023043713,6.288906242,6.99338149
"UBA2",9.338543658,9.285400678,9.34759284,9.354395543,9.353011298,9.371006499,9.458978918,9.316118189,9.159491868,9.315803829,9.515178613,9.019934157,9.486698969,10.20925531,9.319460301
"SAE1",9.347156062,9.113991517,9.240234958,9.258339323,9.421428664,9.254042024,9.299704273,9.181969585,9.122581889,9.281455544,9.189433563,9.219542542,9.238712391,9.310814676,9.25560461
"ABCC5",8.825987716,8.675847524,8.708619364,8.609566395,8.904124403,8.82541152,8.68927415,8.664265572,8.139544651,7.813915825,7.654674618,7.857213587,7.961441563,8.156756431,8.59039865
"ABCB6",6.011497169,5.755251727,5.65933524,5.882716177,6.038066884,5.930141119,5.870480829,5.792087136,5.935726632,5.7352854,5.712006632,5.705349966,6.262125875,5.692299286,6.143199709
"DNM1L",6.658988262,6.507238725,6.655392609,6.612902961,6.934696412,6.699433469,6.789943088,6.957796381,6.691477976,7.072713861,7.07816885,6.841641589,6.523388525,7.421178134,6.482409596
"CDH7",4.712689774,4.770258242,4.818859478,4.829727244,4.619511469,4.640122073,4.682360205,4.771219368,4.863750844,4.728417911,4.673964839,4.934852683,5.07648157,4.709049188,4.941887771
"ABCC9",3.812870718,3.973286345,3.851522358,4.069744334,3.872479822,3.94470428,3.822612586,3.907086553,3.882078595,3.801418667,3.756276014,3.999333451,3.813409508,3.914261442,3.934067255
"ABCF2",7.393664773,7.401759787,7.282468467,7.448110119,7.392174339,7.314991153,7.222685666,7.215849931,7.114664357,7.225184283,7.090382771,7.359028771,7.164934382,7.140244409,7.149082154
"NR1H3",5.897483239,5.71628444,5.722819622,5.581185511,5.920282016,5.396956317,5.938209674,6.132392431,5.510959939,6.413125875,6.522936643,6.625375785,6.434289028,6.573292528,6.019895112
"SCAMP2",10.05041047,9.854753344,10.03777072,9.894610991,9.870351934,9.827750091,9.863129844,9.766320504,9.930310655,9.863508739,9.704316437,9.949047476,9.947212302,9.455898786,10.03756446
"SCAMP3",9.671987725,9.432052736,9.627157522,9.715116587,9.601406791,9.491506502,9.479388124,9.133240642,9.228816529,9.279968621,9.125502004,9.505871851,9.656140617,9.101351349,9.367738601
"RWDD2B",6.73593255,6.652286848,6.895781821,6.673932097,6.926261052,6.868511378,7.024565277,6.849290241,6.621305207,6.89256108,6.825216441,6.613527417,6.725263601,6.918442643,7.037974234
"CDH8",4.365492528,4.745177871,4.603428233,4.874191971,4.634721171,4.605111894,4.644973961,4.521643841,4.564974146,4.653254189,4.626716311,4.570534979,4.746749449,4.470813323,4.842400886
