"SYMBOL","ENTREZID","Description"
"CSNK1E",1454,"casein kinase 1, epsilon"
"CSNK1G2",1455,"casein kinase 1, gamma 2"
"CSNK1G3",1456,"casein kinase 1, gamma 3"
"CSNK2A1",1457,"casein kinase 2, alpha 1 polypeptide"
"CSNK2A2",1459,"casein kinase 2, alpha prime polypeptide"
"CSNK2B",1460,"casein kinase 2, beta polypeptide"
"VCAN",1462,"versican"
"NCAN",1463,"neurocan"
"CSPG4",1464,"chondroitin sulfate proteoglycan 4"
"CSRP1",1465,"cysteine and glycine-rich protein 1"
"SLC25A10",1468,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10"
"CST1",1469,"cystatin SN"
"ADRA1D",146,"adrenergic, alpha-1D-, receptor"
"CST2",1470,"cystatin SA"
"WIPF2",147179,"WAS/WASL interacting protein family, member 2"
"CST3",1471,"cystatin C (amyloid angiopathy and cerebral hemorrhage)"
"CST4",1472,"cystatin S"
"ARK2N",147339,"chromosome 18 open reading frame 25"
"CST6",1474,"cystatin E/M"
"CSTA",1475,"cystatin A (stefin A)"
"CSTB",1476,"cystatin B (stefin B)"
"CSTF1",1477,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
"CSTF2",1478,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa"
"SIX5",147912,"SIX homeobox 5"
"CSTF3",1479,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa"
"ADRA1B",147,"adrenergic, alpha-1B-, receptor"
"TICAM1",148022,"toll-like receptor adaptor molecule 1"
"ZNRF4",148066,"zinc and ring finger 4"
"ATP8B3",148229,"ATPase, Class I, type 8B, member 3"
"NKX2-5",1482,"NK2 transcription factor related, locus 5 (Drosophila)"
"CTBS",1486,"chitobiase, di-N-acetyl-"
"CTBP1",1487,"C-terminal binding protein 1"
"CTBP2",1488,"C-terminal binding protein 2"
"CTF1",1489,"cardiotrophin 1"
"ADRA1A",148,"adrenergic, alpha-1A-, receptor"
"CCN2",1490,"connective tissue growth factor"
"CNIH3",149111,"cornichon homolog 3 (Drosophila)"
"CTH",1491,"cystathionase (cystathionine gamma-lyase)"
"CTLA4",1493,"cytotoxic T-lymphocyte-associated protein 4"
"CTNNA1",1495,"catenin (cadherin-associated protein), alpha 1, 102kDa"
"RNF187",149603,"ring finger protein 187"
"CTNNA2",1496,"catenin (cadherin-associated protein), alpha 2"
"CTNS",1497,"cystinosis, nephropathic"
"CTNNB1",1499,"catenin (cadherin-associated protein), beta 1, 88kDa"
"AAMP",14,"angio-associated, migratory cell protein"
"SIK1",150094,"SNF1-like kinase"
"CTNND1",1500,"catenin (cadherin-associated protein), delta 1"
"CCT8L2",150160,"chaperonin containing TCP1, subunit 8 (theta)-like 2"
"CTNND2",1501,"catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)"
"CTPS1",1503,"CTP synthase"
"CTRL",1506,"chymotrypsin-like"
"FBXO41",150726,"F-box protein 41"
"CTSB",1508,"cathepsin B"
"CTSD",1509,"cathepsin D"
"ADRA2A",150,"adrenergic, alpha-2A-, receptor"
"SEPTIN10",151011,"septin 10"
"KANSL1L",151050,"hypothetical protein FLJ23861"
"CTSE",1510,"cathepsin E"
"CTSG",1511,"cathepsin G"
"CTSH",1512,"cathepsin H"
"CTSK",1513,"cathepsin K"
"CTSL",1514,"cathepsin L1"
"CTSV",1515,"cathepsin L2"
"PPP4R2",151987,"protein phosphatase 4, regulatory subunit 2"
"CTSO",1519,"cathepsin O"
"ADRA2B",151,"adrenergic, alpha-2B-, receptor"
"RNF38",152006,"ring finger protein 38"
"CTSS",1520,"cathepsin S"
"SPICE1",152185,"coiled-coil domain containing 52"
"CTSW",1521,"cathepsin W"
"CTSZ",1522,"cathepsin Z"
"CUX1",1523,"cut-like 1, CCAAT displacement protein (Drosophila)"
"CX3CR1",1524,"chemokine (C-X3-C motif) receptor 1"
"PAQR3",152559,"progestin and adipoQ receptor family member III"
"CXADR",1525,"coxsackie virus and adenovirus receptor"
"CYB5A",1528,"cytochrome b5 type A (microsomal)"
"ADRA2C",152,"adrenergic, alpha-2C-, receptor"
"CYB561",1534,"cytochrome b-561"
"CYBA",1535,"cytochrome b-245, alpha polypeptide"
"CYBB",1536,"cytochrome b-245, beta polypeptide (chronic granulomatous disease)"
"CYC1",1537,"cytochrome c-1"
"CYLC1",1538,"cylicin, basic protein of sperm head cytoskeleton 1"
"CYLC2",1539,"cylicin, basic protein of sperm head cytoskeleton 2"
"ADRB1",153,"adrenergic, beta-1-, receptor"
"CYLD",1540,"cylindromatosis (turban tumor syndrome)"
"CYP1A1",1543,"cytochrome P450, family 1, subfamily A, polypeptide 1"
"CYP1A2",1544,"cytochrome P450, family 1, subfamily A, polypeptide 2"
"CYP1B1",1545,"cytochrome P450, family 1, subfamily B, polypeptide 1"
"RUNDC3B",154661,"RUN domain containing 3B"
"AMOT",154796,"angiomotin"
"CYP2A6",1548,"cytochrome P450, family 2, subfamily A, polypeptide 6"
"CYP2A7",1549,"cytochrome P450, family 2, subfamily A, polypeptide 7"
"ADRB2",154,"adrenergic, beta-2-, receptor, surface"
"ATP6V0E2",155066,"ATPase, H+ transporting V0 subunit e2"
"CYP3A7",1551,"cytochrome P450, family 3, subfamily A, polypeptide 7"
"CYP2A13",1553,"cytochrome P450, family 2, subfamily A, polypeptide 13"
"CYP2B6",1555,"cytochrome P450, family 2, subfamily B, polypeptide 6"
"CYP2C19",1557,"cytochrome P450, family 2, subfamily C, polypeptide 19"
"CYP2C8",1558,"cytochrome P450, family 2, subfamily C, polypeptide 8"
"CYP2C9",1559,"cytochrome P450, family 2, subfamily C, polypeptide 9"
"ADRB3",155,"adrenergic, beta-3-, receptor"
"CYP2C18",1562,"cytochrome P450, family 2, subfamily C, polypeptide 18"
"GRK2",156,"adrenergic, beta, receptor kinase 1"
"CYP2E1",1571,"cytochrome P450, family 2, subfamily E, polypeptide 1"
"CYP2J2",1573,"cytochrome P450, family 2, subfamily J, polypeptide 2"
"ANKRD46",157567,"ankyrin repeat domain 46"
"VPS13B",157680,"vacuolar protein sorting 13 homolog B (yeast)"
"CYP3A4",1576,"cytochrome P450, family 3, subfamily A, polypeptide 4"
"CYP3A5",1577,"cytochrome P450, family 3, subfamily A, polypeptide 5"
"CAMSAP1",157922,"calmodulin regulated spectrin-associated protein 1"
"CYP4A11",1579,"cytochrome P450, family 4, subfamily A, polypeptide 11"
"GRK3",157,"adrenergic, beta, receptor kinase 2"
"CYP7A1",1581,"cytochrome P450, family 7, subfamily A, polypeptide 1"
"CYP11A1",1583,"cytochrome P450, family 11, subfamily A, polypeptide 1"
"CYP11B1",1584,"cytochrome P450, family 11, subfamily B, polypeptide 1"
"CYP11B2",1585,"cytochrome P450, family 11, subfamily B, polypeptide 2"
"CYP17A1",1586,"cytochrome P450, family 17, subfamily A, polypeptide 1"
"MOSPD2",158747,"motile sperm domain containing 2"
"CYP19A1",1588,"cytochrome P450, family 19, subfamily A, polypeptide 1"
"CYP21A2",1589,"cytochrome P450, family 21, subfamily A, polypeptide 2"
"ADSL",158,"adenylosuccinate lyase"
"CYP24A1",1591,"cytochrome P450, family 24, subfamily A, polypeptide 1"
"CYP26A1",1592,"cytochrome P450, family 26, subfamily A, polypeptide 1"
"CYP27A1",1593,"cytochrome P450, family 27, subfamily A, polypeptide 1"
"CYP27B1",1594,"cytochrome P450, family 27, subfamily B, polypeptide 1"
"CYP51A1",1595,"cytochrome P450, family 51, subfamily A, polypeptide 1"
"ADSS2",159,"adenylosuccinate synthase"
"AANAT",15,"arylalkylamine N-acetyltransferase"
"DAB1",1600,"disabled homolog 1 (Drosophila)"
"DAB2",1601,"disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"
"DACH1",1602,"dachshund homolog 1 (Drosophila)"
"DAD1",1603,"defender against cell death 1"
"CD55",1604,"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
"DAG1",1605,"dystroglycan 1 (dystrophin-associated glycoprotein 1)"
"DGKA",1606,"diacylglycerol kinase, alpha 80kDa"
"DGKB",1607,"diacylglycerol kinase, beta 90kDa"
"DGKG",1608,"diacylglycerol kinase, gamma 90kDa"
"DGKQ",1609,"diacylglycerol kinase, theta 110kDa"
"DAO",1610,"D-amino-acid oxidase"
"DAP",1611,"death-associated protein"
"TMEM30B",161291,"transmembrane protein 30B"
"DAPK1",1612,"death-associated protein kinase 1"
"DAPK3",1613,"death-associated protein kinase 3"
"DARS1",1615,"aspartyl-tRNA synthetase"
"DAXX",1616,"death-associated protein 6"
"DAZL",1618,"deleted in azoospermia-like"
"AP2A2",161,"adaptor-related protein complex 2, alpha 2 subunit"
"BRINP1",1620,"deleted in bladder cancer 1"
"DBH",1621,"dopamine beta-hydroxylase (dopamine beta-monooxygenase)"
"DBI",1622,"diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)"
"RETREG3",162427,"family with sequence similarity 134, member C"
"DBN1",1627,"drebrin 1"
"DBP",1628,"D site of albumin promoter (albumin D-box) binding protein"
"DBT",1629,"dihydrolipoamide branched chain transacylase E2"
"AP1B1",162,"adaptor-related protein complex 1, beta 1 subunit"
"DCC",1630,"deleted in colorectal carcinoma"
"ECI1",1632,"dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)"
"DCK",1633,"deoxycytidine kinase"
"DCN",1634,"decorin"
"DCTD",1635,"dCMP deaminase"
"ACE",1636,"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"
"DCT",1638,"dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
"DCTN1",1639,"dynactin 1 (p150, glued homolog, Drosophila)"
"AP2B1",163,"adaptor-related protein complex 2, beta 1 subunit"
"DCX",1641,"doublecortex; lissencephaly, X-linked (doublecortin)"
"DDB1",1642,"damage-specific DNA binding protein 1, 127kDa"
"DDB2",1643,"damage-specific DNA binding protein 2, 48kDa"
"DDC",1644,"dopa decarboxylase (aromatic L-amino acid decarboxylase)"
"AKR1C1",1645,"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)"
"TMPRSS6",164656,"transmembrane protease, serine 6"
"AKR1C2",1646,"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)"
"GADD45A",1647,"growth arrest and DNA-damage-inducible, alpha"
"DDIT3",1649,"DNA-damage-inducible transcript 3"
"AP1G1",164,"adaptor-related protein complex 1, gamma 1 subunit"
"DDOST",1650,"dolichyl-diphosphooligosaccharide-protein glycosyltransferase"
"DDT",1652,"D-dopachrome tautomerase"
"DDX1",1653,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 1"
"DDX3X",1654,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked"
"DDX5",1655,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 5"
"DDX6",1656,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 6"
"DMXL1",1657,"Dmx-like 1"
"DHX8",1659,"DEAH (Asp-Glu-Ala-His) box polypeptide 8"
"DHX9",1660,"DEAH (Asp-Glu-Ala-His) box polypeptide 9"
"DDX10",1662,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 10"
"DDX11",1663,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)"
"DHX15",1665,"DEAH (Asp-Glu-Ala-His) box polypeptide 15"
"ADGRA3",166647,"G protein-coupled receptor 125"
"DECR1",1666,"2,4-dienoyl CoA reductase 1, mitochondrial"
"DEFA4",1669,"defensin, alpha 4, corticostatin"
"TLE5",166,"amino-terminal enhancer of split"
"DEFA5",1670,"defensin, alpha 5, Paneth cell-specific"
"DEFA6",1671,"defensin, alpha 6, Paneth cell-specific"
"DCP2",167227,"DCP2 decapping enzyme homolog (S. cerevisiae)"
"DEFB1",1672,"defensin, beta 1"
"DES",1674,"desmin"
"CFD",1675,"complement factor D (adipsin)"
"DFFA",1676,"DNA fragmentation factor, 45kDa, alpha polypeptide"
"DFFB",1677,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)"
"TIMM8A",1678,"translocase of inner mitochondrial membrane 8 homolog A (yeast)"
"CRISP1",167,"cysteine-rich secretory protein 1"
"ZNF467",168544,"zinc finger protein 467"
"GSDME",1687,"deafness, autosomal dominant 5"
"COCH",1690,"coagulation factor C homolog, cochlin (Limulus polyphemus)"
"KCNV2",169522,"potassium channel, subfamily V, member 2"
"AARS1",16,"alanyl-tRNA synthetase"
"PSORS1C1",170679,"psoriasis susceptibility 1 candidate 1"
"PSORS1C2",170680,"psoriasis susceptibility 1 candidate 2"
"ZNF384",171017,"zinc finger protein 384"
"ASXL1",171023,"additional sex combs like 1 (Drosophila)"
"SPTSSA",171546,"chromosome 14 open reading frame 147"
"PTCRA",171558,"pre T-cell antigen receptor alpha"
"DGUOK",1716,"deoxyguanosine kinase"
"DHCR7",1717,"7-dehydrocholesterol reductase"
"DHCR24",1718,"24-dehydrocholesterol reductase"
"DHODH",1723,"dihydroorotate dehydrogenase"
"DHPS",1725,"deoxyhypusine synthase"
"CYB5R3",1727,"cytochrome b5 reductase 3"
"NQO1",1728,"NAD(P)H dehydrogenase, quinone 1"
"DIAPH1",1729,"diaphanous homolog 1 (Drosophila)"
"DIAPH2",1730,"diaphanous homolog 2 (Drosophila)"
"DIO1",1733,"deiodinase, iodothyronine, type I"
"DIO2",1734,"deiodinase, iodothyronine, type II"
"DIO3",1735,"deiodinase, iodothyronine, type III"
"DKC1",1736,"dyskeratosis congenita 1, dyskerin"
"DLAT",1737,"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"DLD",1738,"dihydrolipoamide dehydrogenase"
"DLG1",1739,"discs, large homolog 1 (Drosophila)"
"AFM",173,"afamin"
"DLG2",1740,"discs, large homolog 2, chapsyn-110 (Drosophila)"
"DLG3",1741,"discs, large homolog 3 (neuroendocrine-dlg, Drosophila)"
"DLG4",1742,"discs, large homolog 4 (Drosophila)"
"DLST",1743,"dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)"
"DLX2",1746,"distal-less homeobox 2"
"DLX5",1749,"distal-less homeobox 5"
"AFP",174,"alpha-fetoprotein"
"DLX6",1750,"distal-less homeobox 6"
"DMBT1",1755,"deleted in malignant brain tumors 1"
"DMD",1756,"dystrophin (muscular dystrophy, Duchenne and Becker types)"
"SARDH",1757,"sarcosine dehydrogenase"
"DMP1",1758,"dentin matrix acidic phosphoprotein"
"DNM1",1759,"dynamin 1"
"AGA",175,"aspartylglucosaminidase"
"DMPK",1760,"dystrophia myotonica-protein kinase"
"DMRT1",1761,"doublesex and mab-3 related transcription factor 1"
"DMWD",1762,"dystrophia myotonica, WD repeat containing"
"DNA2",1763,"DNA2 DNA replication helicase 2-like (yeast)"
"ACAN",176,"aggrecan"
"DNAH9",1770,"dynein, axonemal, heavy chain 9"
"DNASE1",1773,"deoxyribonuclease I"
"DNASE1L2",1775,"deoxyribonuclease I-like 2"
"DNASE2",1777,"deoxyribonuclease II, lysosomal"
"DYNC1H1",1778,"dynein, cytoplasmic 1, heavy chain 1"
"AGER",177,"advanced glycosylation end product-specific receptor"
"DYNC1I1",1780,"dynein, cytoplasmic 1, intermediate chain 1"
"DYNC1LI2",1783,"dynein, cytoplasmic 1, light intermediate chain 2"
"DNM2",1785,"dynamin 2"
"DNMT1",1786,"DNA (cytosine-5-)-methyltransferase 1"
"TRDMT1",1787,"tRNA aspartic acid methyltransferase 1"
"DNMT3A",1788,"DNA (cytosine-5-)-methyltransferase 3 alpha"
"DNMT3B",1789,"DNA (cytosine-5-)-methyltransferase 3 beta"
"AGL",178,"amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"
"DNTT",1791,"deoxynucleotidyltransferase, terminal"
"DOCK1",1793,"dedicator of cytokinesis 1"
"DOCK2",1794,"dedicator of cytokinesis 2"
"DOCK3",1795,"dedicator of cytokinesis 3"
"DOK1",1796,"docking protein 1, 62kDa (downstream of tyrosine kinase 1)"
"DXO",1797,"dom-3 homolog Z (C. elegans)"
"DPAGT1",1798,"dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)"
"DPH2",1802,"DPH2 homolog (S. cerevisiae)"
"DPP4",1803,"dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)"
"DPP6",1804,"dipeptidyl-peptidase 6"
"DPT",1805,"dermatopontin"
"DPYD",1806,"dihydropyrimidine dehydrogenase"
"DPYS",1807,"dihydropyrimidinase"
"DPYSL2",1808,"dihydropyrimidinase-like 2"
"DPYSL3",1809,"dihydropyrimidinase-like 3"
"DR1",1810,"down-regulator of transcription 1, TBP-binding (negative cofactor 2)"
"SLC26A3",1811,"solute carrier family 26, member 3"
"DRD1",1812,"dopamine receptor D1"
"DRD2",1813,"dopamine receptor D2"
"DRD3",1814,"dopamine receptor D3"
"DRD4",1815,"dopamine receptor D4"
"DRD5",1816,"dopamine receptor D5"
"DRG2",1819,"developmentally regulated GTP binding protein 2"
"AGRP",181,"agouti related protein homolog (mouse)"
"ARID3A",1820,"AT rich interactive domain 3A (BRIGHT-like)"
"DRP2",1821,"dystrophin related protein 2"
"ATN1",1822,"atrophin 1"
"DSC1",1823,"desmocollin 1"
"DSC2",1824,"desmocollin 2"
"DSC3",1825,"desmocollin 3"
"DSCAM",1826,"Down syndrome cell adhesion molecule"
"RCAN1",1827,"regulator of calcineurin 1"
"DSG1",1828,"desmoglein 1"
"JAG1",182,"jagged 1 (Alagille syndrome)"
"DSG3",1830,"desmoglein 3 (pemphigus vulgaris antigen)"
"TSC22D3",1831,"TSC22 domain family, member 3"
"DSP",1832,"desmoplakin"
"DSPP",1834,"dentin sialophosphoprotein"
"SLC26A2",1836,"solute carrier family 26 (sulfate transporter), member 2"
"DTNA",1837,"dystrobrevin, alpha"
"DTNB",1838,"dystrobrevin, beta"
"HBEGF",1839,"heparin-binding EGF-like growth factor"
"AGT",183,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
"DTYMK",1841,"deoxythymidylate kinase (thymidylate kinase)"
"ECM2",1842,"extracellular matrix protein 2, female organ and adipocyte specific"
"DUSP1",1843,"dual specificity phosphatase 1"
"DUSP2",1844,"dual specificity phosphatase 2"
"DUSP3",1845,"dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)"
"DUSP4",1846,"dual specificity phosphatase 4"
"DUSP5",1847,"dual specificity phosphatase 5"
"DUSP6",1848,"dual specificity phosphatase 6"
"DUSP7",1849,"dual specificity phosphatase 7"
"DUSP8",1850,"dual specificity phosphatase 8"
"DUSP9",1852,"dual specificity phosphatase 9"
"DUT",1854,"dUTP pyrophosphatase"
"DVL1",1855,"dishevelled, dsh homolog 1 (Drosophila)"
"DVL2",1856,"dishevelled, dsh homolog 2 (Drosophila)"
"DVL3",1857,"dishevelled, dsh homolog 3 (Drosophila)"
"DYRK1A",1859,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A"
"AGTR1",185,"angiotensin II receptor, type 1"
"TOR1A",1861,"torsin family 1, member A (torsin A)"
"E2F1",1869,"E2F transcription factor 1"
"AGTR2",186,"angiotensin II receptor, type 2"
"E2F2",1870,"E2F transcription factor 2"
"E2F3",1871,"E2F transcription factor 3"
"E2F4",1874,"E2F transcription factor 4, p107/p130-binding"
"E2F5",1875,"E2F transcription factor 5, p130-binding"
"E4F1",1877,"E4F transcription factor 1"
"APLNR",187,"angiotensin II receptor-like 1"
"GPR183",1880,"Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)"
"ECE1",1889,"endothelin converting enzyme 1"
"TYMP",1890,"endothelial cell growth factor 1 (platelet-derived)"
"ECH1",1891,"enoyl Coenzyme A hydratase 1, peroxisomal"
"ECHS1",1892,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial"
"ECM1",1893,"extracellular matrix protein 1"
"ECT2",1894,"epithelial cell transforming sequence 2 oncogene"
"EDA",1896,"ectodysplasin A"
"AGXT",189,"alanine-glyoxylate aminotransferase"
"ABAT",18,"4-aminobutyrate aminotransferase"
"S1PR1",1901,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1"
"LPAR1",1902,"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2"
"EDN1",1906,"endothelin 1"
"EDN2",1907,"endothelin 2"
"EDN3",1908,"endothelin 3"
"EDNRA",1909,"endothelin receptor type A"
"NR0B1",190,"nuclear receptor subfamily 0, group B, member 1"
"EDNRB",1910,"endothelin receptor type B"
"PHC2",1912,"polyhomeotic homolog 2 (Drosophila)"
"EEF1A2",1917,"eukaryotic translation elongation factor 1 alpha 2"
"AHCY",191,"S-adenosylhomocysteine hydrolase"
"HIGD2A",192286,"HIG1 domain family, member 2A"
"KRT24",192666,"keratin 24"
"AGO3",192669,"eukaryotic translation initiation factor 2C, 3"
"AGO4",192670,"eukaryotic translation initiation factor 2C, 4"
"EEF1D",1936,"eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)"
"EEF2",1938,"eukaryotic translation elongation factor 2"
"EIF2D",1939,"ligatin"
"EFNA1",1942,"ephrin-A1"
"EFNA2",1943,"ephrin-A2"
"EFNA3",1944,"ephrin-A3"
"EFNA4",1945,"ephrin-A4"
"EFNA5",1946,"ephrin-A5"
"EFNB1",1947,"ephrin-B1"
"EFNB2",1948,"ephrin-B2"
"EFNB3",1949,"ephrin-B3"
"EGF",1950,"epidermal growth factor (beta-urogastrone)"
"CELSR3",1951,"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)"
"CELSR2",1952,"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)"
"MEGF6",1953,"multiple EGF-like-domains 6"
"MEGF8",1954,"multiple EGF-like-domains 8"
"EGFR",1956,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"
"EGR1",1958,"early growth response 1"
"EGR2",1959,"early growth response 2 (Krox-20 homolog, Drosophila)"
"EGR3",1960,"early growth response 3"
"EGR4",1961,"early growth response 4"
"EHHADH",1962,"enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase"
"DTX3",196403,"deltex 3 homolog (Drosophila)"
"ZFC3H1",196441,"coiled-coil domain containing 131"
"EIF1AX",1964,"eukaryotic translation initiation factor 1A, X-linked"
"EIF2S1",1965,"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"
"PAOX",196743,"polyamine oxidase (exo-N4-amino)"
"EIF2B1",1967,"eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa"
"EPHA2",1969,"EPH receptor A2"
"AHR",196,"aryl hydrocarbon receptor"
"EIF4A1",1973,"eukaryotic translation initiation factor 4A, isoform 1"
"EIF4A2",1974,"eukaryotic translation initiation factor 4A, isoform 2"
"EIF4E",1977,"eukaryotic translation initiation factor 4E"
"EIF4EBP1",1978,"eukaryotic translation initiation factor 4E binding protein 1"
"EIF4EBP2",1979,"eukaryotic translation initiation factor 4E binding protein 2"
"AHSG",197,"alpha-2-HS-glycoprotein"
"EIF4G1",1981,"eukaryotic translation initiation factor 4 gamma, 1"
"EIF4G2",1982,"eukaryotic translation initiation factor 4 gamma, 2"
"EIF5",1983,"eukaryotic translation initiation factor 5"
"EIF5A",1984,"eukaryotic translation initiation factor 5A"
"ELANE",1991,"elastase 2, neutrophil"
"SERPINB1",1992,"serpin peptidase inhibitor, clade B (ovalbumin), member 1"
"ELAVL2",1993,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)"
"ELAVL1",1994,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"
"ELAVL3",1995,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)"
"ELAVL4",1996,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)"
"CADM4",199731,"cell adhesion molecule 4"
"ELF2",1998,"E74-like factor 2 (ets domain transcription factor)"
"ELF3",1999,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"
"AIF1",199,"allograft inflammatory factor 1"
"ABCA1",19,"ATP-binding cassette, sub-family A (ABC1), member 1"
"TXLNA",200081,"taxilin alpha"
"ELF4",2000,"E74-like factor 4 (ets domain transcription factor)"
"ELF5",2001,"E74-like factor 5 (ets domain transcription factor)"
"ELK1",2002,"ELK1, member of ETS oncogene family"
"APOBEC3A",200315,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"
"APOBEC3F",200316,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F"
"TET3",200424,"hypothetical protein MGC22014"
"PIKFYVE",200576,"phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III"
"ELK4",2005,"ELK4, ETS-domain protein (SRF accessory protein 1)"
"ELN",2006,"elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)"
"SPRED2",200734,"sprouty-related, EVH1 domain containing 2"
"EML1",2009,"echinoderm microtubule associated protein like 1"
"EMD",2010,"emerin (Emery-Dreifuss muscular dystrophy)"
"MARK2",2011,"MAP/microtubule affinity-regulating kinase 2"
"CENPX",201254,"stimulated by retinoic acid 13 homolog (mouse)"
"EMP1",2012,"epithelial membrane protein 1"
"EMP2",2013,"epithelial membrane protein 2"
"EMP3",2014,"epithelial membrane protein 3"
"HACD2",201562,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b"
"ADGRE1",2015,"egf-like module containing, mucin-like, hormone receptor-like 1"
"EMX1",2016,"empty spiracles homeobox 1"
"CTTN",2017,"cortactin"
"EMX2",2018,"empty spiracles homeobox 2"
"EN1",2019,"engrailed homeobox 1"
"ENDOG",2021,"endonuclease G"
"ENG",2022,"endoglin (Osler-Rendu-Weber syndrome 1)"
"ENO1",2023,"enolase 1, (alpha)"
"KHDRBS2",202559,"KH domain containing, RNA binding, signal transduction associated 2"
"ENO2",2026,"enolase 2 (gamma, neuronal)"
"ENO3",2027,"enolase 3 (beta, muscle)"
"ENPEP",2028,"glutamyl aminopeptidase (aminopeptidase A)"
"ENSA",2029,"endosulfine alpha"
"CRYBG1",202,"absent in melanoma 1"
"TUBB",203068,"tubulin, beta"
"SLC29A1",2030,"solute carrier family 29 (nucleoside transporters), member 1"
"EP300",2033,"E1A binding protein p300"
"EPAS1",2034,"endothelial PAS domain protein 1"
"EPB41",2035,"erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)"
"EPB41L1",2036,"erythrocyte membrane protein band 4.1-like 1"
"EPB41L2",2037,"erythrocyte membrane protein band 4.1-like 2"
"EPB42",2038,"erythrocyte membrane protein band 4.2"
"DMTN",2039,"erythrocyte membrane protein band 4.9 (dematin)"
"AK1",203,"adenylate kinase 1"
"STOM",2040,"stomatin"
"EPHA1",2041,"EPH receptor A1"
"EPHA3",2042,"EPH receptor A3"
"EPHA4",2043,"EPH receptor A4"
"EPHA5",2044,"EPH receptor A5"
"EPHA7",2045,"EPH receptor A7"
"EPHB1",2047,"EPH receptor B1"
"HIPK1",204851,"homeodomain interacting protein kinase 1"
"EPHB2",2048,"EPH receptor B2"
"EPHB3",2049,"EPH receptor B3"
"AK2",204,"adenylate kinase 2"
"EPHB4",2050,"EPH receptor B4"
"EPHB6",2051,"EPH receptor B6"
"EPHX1",2052,"epoxide hydrolase 1, microsomal (xenobiotic)"
"EPHX2",2053,"epoxide hydrolase 2, cytoplasmic"
"STX2",2054,"syntaxin 2"
